OrderDate,OrderID,ProductID,CustomerID,SalesID,ShippedDate,ShipperName,UnitPrice,Quantity,Freight
4-Jul-1996,10248,PRD011,CST085,SLS005,16-Jul-1996,Federal Shipping,14.00,12,32.38
4-Jul-1996,10248,PRD042,CST085,SLS005,16-Jul-1996,Federal Shipping,9.80,10,32.38
4-Jul-1996,10248,PRD072,CST085,SLS005,16-Jul-1996,Federal Shipping,34.80,5,32.38
5-Jul-1996,10249,PRD014,CST079,SLS006,10-Jul-1996,Speedy Express,18.60,9,11.61
5-Jul-1996,10249,PRD051,CST079,SLS006,10-Jul-1996,Speedy Express,42.40,40,11.61
8-Jul-1996,10250,PRD041,CST034,SLS004,12-Jul-1996,United Package,7.70,10,65.83
8-Jul-1996,10250,PRD051,CST034,SLS004,12-Jul-1996,United Package,42.40,35,65.83
8-Jul-1996,10250,PRD065,CST034,SLS004,12-Jul-1996,United Package,16.80,15,65.83
8-Jul-1996,10251,PRD065,CST084,SLS003,15-Jul-1996,Speedy Express,16.80,20,41.34
8-Jul-1996,10251,PRD022,CST084,SLS003,15-Jul-1996,Speedy Express,16.80,6,41.34
8-Jul-1996,10251,PRD057,CST084,SLS003,15-Jul-1996,Speedy Express,15.60,15,41.34
9-Jul-1996,10252,PRD060,CST076,SLS004,11-Jul-1996,United Package,27.20,40,51.30
9-Jul-1996,10252,PRD020,CST076,SLS004,11-Jul-1996,United Package,64.80,40,51.30
9-Jul-1996,10252,PRD033,CST076,SLS004,11-Jul-1996,United Package,2.00,25,51.30
10-Jul-1996,10253,PRD031,CST034,SLS003,16-Jul-1996,United Package,10.00,20,58.17
10-Jul-1996,10253,PRD039,CST034,SLS003,16-Jul-1996,United Package,14.40,42,58.17
10-Jul-1996,10253,PRD049,CST034,SLS003,16-Jul-1996,United Package,16.00,40,58.17
11-Jul-1996,10254,PRD074,CST014,SLS005,23-Jul-1996,United Package,8.00,21,22.98
11-Jul-1996,10254,PRD024,CST014,SLS005,23-Jul-1996,United Package,3.60,15,22.98
11-Jul-1996,10254,PRD055,CST014,SLS005,23-Jul-1996,United Package,19.20,21,22.98
12-Jul-1996,10255,PRD002,CST068,SLS009,15-Jul-1996,Federal Shipping,15.20,20,148.33
12-Jul-1996,10255,PRD016,CST068,SLS009,15-Jul-1996,Federal Shipping,13.90,35,148.33
12-Jul-1996,10255,PRD036,CST068,SLS009,15-Jul-1996,Federal Shipping,15.20,25,148.33
12-Jul-1996,10255,PRD059,CST068,SLS009,15-Jul-1996,Federal Shipping,44.00,30,148.33
15-Jul-1996,10256,PRD053,CST088,SLS003,17-Jul-1996,United Package,26.20,15,13.97
15-Jul-1996,10256,PRD077,CST088,SLS003,17-Jul-1996,United Package,10.40,12,13.97
16-Jul-1996,10257,PRD027,CST035,SLS004,22-Jul-1996,Federal Shipping,35.10,25,81.91
16-Jul-1996,10257,PRD039,CST035,SLS004,22-Jul-1996,Federal Shipping,14.40,6,81.91
16-Jul-1996,10257,PRD077,CST035,SLS004,22-Jul-1996,Federal Shipping,10.40,15,81.91
17-Jul-1996,10258,PRD002,CST020,SLS001,23-Jul-1996,Speedy Express,15.20,50,140.51
17-Jul-1996,10258,PRD005,CST020,SLS001,23-Jul-1996,Speedy Express,17.00,65,140.51
17-Jul-1996,10258,PRD032,CST020,SLS001,23-Jul-1996,Speedy Express,25.60,6,140.51
18-Jul-1996,10259,PRD021,CST013,SLS004,25-Jul-1996,Federal Shipping,8.00,10,3.25
18-Jul-1996,10259,PRD037,CST013,SLS004,25-Jul-1996,Federal Shipping,20.80,1,3.25
19-Jul-1996,10260,PRD057,CST056,SLS004,29-Jul-1996,Speedy Express,15.60,50,55.09
19-Jul-1996,10260,PRD041,CST056,SLS004,29-Jul-1996,Speedy Express,7.70,16,55.09
19-Jul-1996,10260,PRD062,CST056,SLS004,29-Jul-1996,Speedy Express,39.40,15,55.09
19-Jul-1996,10260,PRD070,CST056,SLS004,29-Jul-1996,Speedy Express,12.00,21,55.09
19-Jul-1996,10261,PRD021,CST061,SLS004,30-Jul-1996,United Package,8.00,20,3.05
19-Jul-1996,10261,PRD035,CST061,SLS004,30-Jul-1996,United Package,14.40,20,3.05
22-Jul-1996,10262,PRD007,CST065,SLS008,25-Jul-1996,Federal Shipping,24.00,15,48.29
22-Jul-1996,10262,PRD056,CST065,SLS008,25-Jul-1996,Federal Shipping,30.40,2,48.29
